Species,log_3_5,log_5plus,Day 
pseudomycoides,0.1,0.29,14
albus,0.53,0.69,14
mobilis,0.43,0.87,14
tropicus ,0.62,1.11,14
pacificus ,0.63,0.77,14
cereus ,0.57,0.52,14
thuringiensis,1.2,1.32,14
toyonensis,1.18,1.54,14
cytotoxicus,0.37,0.78,14
pseudomycoides,0.11,0.41,21
albus,0.6,1.23,21
mobilis,0.43,1.41,21
tropicus ,0.79,1.74,21
pacificus ,0.69,1.34,21
cereus ,0.64,1.13,21
thuringiensis,1.61,2.17,21
toyonensis,1.47,2.47,21
cytotoxicus,0.36,1.29,21
pseudomycoides,0.12,0.65,35
albus,0.53,1.96,35
mobilis,0.44,2.09,35
tropicus ,0.89,2.78,35
pacificus ,0.9,2.15,35
cereus ,0.93,2.12,35
thuringiensis,1.95,3.6,35
toyonensis,2.11,3.93,35
cytotoxicus,0.33,1.94,35
