Isolate,Species,log_3minus,log_3_5,log_5plus,Day ,Avg > 5 log,SD > 5 log,Avg 3-5 log,SD 3-5 log
PS00134,pseudomycoides,99.89%,0.04%,0.07%,14,,,,
PS00136,pseudomycoides,99.89%,0.04%,0.07%,14,,,,
PS00123,pseudomycoides,99.89%,0.04%,0.07%,14,,,,
PS00161,albus,99.79%,0.13%,0.08%,14,,,,
PS00423,albus,99.79%,0.13%,0.08%,14,,,,
PS00048,albus,99.79%,0.13%,0.08%,14,,,,
PS00906,mobilis,99.76%,0.10%,0.14%,14,,,,
PS00515,mobilis,99.76%,0.10%,0.14%,14,,,,
PS00047,tropicus,99.61%,0.25%,0.14%,14,,,,
PS00452,tropicus,99.61%,0.25%,0.14%,14,,,,
PS00457,tropicus,99.61%,0.25%,0.14%,14,,,,
PS00436,pacificus,99.77%,0.16%,0.07%,14,,,,
PS00485,pacificus,99.77%,0.16%,0.07%,14,,,,
PS00513,pacificus,99.77%,0.16%,0.07%,14,,,,
PS00087,cereus,99.83%,0.11%,0.06%,14,,,,
PS00649,thuringiensis,99.46%,0.39%,0.15%,14,,,,
PS00107,thuringiensis,99.46%,0.39%,0.15%,14,,,,
PS00512,thuringiensis,99.46%,0.39%,0.15%,14,,,,
PS00597,thuringiensis,99.46%,0.39%,0.15%,14,,,,
PS00598,toyonensis,99.40%,0.39%,0.21%,14,,,,
PS00565,toyonensis,99.40%,0.39%,0.21%,14,,,,
PS00809,toyonensis,99.40%,0.39%,0.21%,14,,,,
PS00638,toyonensis,99.40%,0.39%,0.21%,14,,,,
PS00539,cytotoxicus,99.81%,0.08%,0.11%,14,,,,
PS00399,cytotoxicus,99.81%,0.08%,0.11%,14,0.12%,0.05%,0.21%,0.14%
PS00134,pseudomycoides,99.67%,0.09%,0.24%,21,,,,
PS00136,pseudomycoides,99.67%,0.09%,0.24%,21,,,,
PS00123,pseudomycoides,99.67%,0.09%,0.24%,21,,,,
PS00161,albus,99.12%,0.41%,0.47%,21,,,,
PS00423,albus,99.12%,0.41%,0.47%,21,,,,
PS00048,albus,99.12%,0.41%,0.47%,21,,,,
PS00906,mobilis,99.04%,0.35%,0.61%,21,,,,
PS00515,mobilis,99.04%,0.35%,0.61%,21,,,,
PS00047,tropicus,98.77%,0.47%,0.76%,21,,,,
PS00452,tropicus,98.77%,0.47%,0.76%,21,,,,
PS00457,tropicus,98.77%,0.47%,0.76%,21,,,,
PS00436,pacificus,99.01%,0.50%,0.49%,21,,,,
PS00485,pacificus,99.01%,0.50%,0.49%,21,,,,
PS00513,pacificus,99.01%,0.50%,0.49%,21,,,,
PS00087,cereus,99.21%,0.44%,0.35%,21,,,,
PS00649,thuringiensis,98.07%,1.05%,0.88%,21,,,,
PS00107,thuringiensis,98.07%,1.05%,0.88%,21,,,,
PS00512,thuringiensis,98.07%,1.05%,0.88%,21,,,,
PS00597,thuringiensis,98.07%,1.05%,0.88%,21,,,,
PS00598,toyonensis,97.85%,1.09%,1.06%,21,,,,
PS00565,toyonensis,97.85%,1.09%,1.06%,21,,,,
PS00809,toyonensis,97.85%,1.09%,1.06%,21,,,,
PS00638,toyonensis,97.85%,1.09%,1.06%,21,,,,
PS00539,cytotoxicus,99.20%,0.29%,0.51%,21,,,,
PS00399,cytotoxicus,99.20%,0.29%,0.51%,21,0.65%,0.27%,0.59%,0.36%
PS00134,pseudomycoides,99.42%,0.13%,0.45%,35,,,,
PS00136,pseudomycoides,99.42%,0.13%,0.45%,35,,,,
PS00123,pseudomycoides,99.42%,0.13%,0.45%,35,,,,
PS00161,albus,98.03%,0.56%,1.41%,35,,,,
PS00423,albus,98.03%,0.56%,1.41%,35,,,,
PS00048,albus,98.03%,0.56%,1.41%,35,,,,
PS00906,mobilis,97.94%,0.45%,1.61%,35,,,,
PS00515,mobilis,97.94%,0.45%,1.61%,35,,,,
PS00047,tropicus,97.16%,0.73%,2.11%,35,,,,
PS00452,tropicus,97.16%,0.73%,2.11%,35,,,,
PS00457,tropicus,97.16%,0.73%,2.11%,35,,,,
PS00436,pacificus,97.68%,0.75%,1.57%,35,,,,
PS00485,pacificus,97.68%,0.75%,1.57%,35,,,,
PS00513,pacificus,97.68%,0.75%,1.57%,35,,,,
PS00087,cereus,97.78%,0.72%,1.50%,35,,,,
PS00649,thuringiensis,95.63%,1.84%,2.53%,35,,,,
PS00107,thuringiensis,95.63%,1.84%,2.53%,35,,,,
PS00512,thuringiensis,95.63%,1.84%,2.53%,35,,,,
PS00597,thuringiensis,95.63%,1.84%,2.53%,35,,,,
PS00598,toyonensis,95.22%,1.90%,2.88%,35,,,,
PS00565,toyonensis,95.22%,1.90%,2.88%,35,,,,
PS00809,toyonensis,95.22%,1.90%,2.88%,35,,,,
PS00638,toyonensis,95.22%,1.89%,2.89%,35,,,,
PS00539,cytotoxicus,98.22%,0.31%,1.47%,35,,,,
PS00399,cytotoxicus,98.22%,0.31%,1.47%,35,1.84%,0.75%,0.95%,0.67%
