,isolate,b,Tmin,Clade
1,125,0.303807649,9.222497057,I
2,193,0.167684836,6.789088467,II
3,194,0.214671186,6.888190674,VII
4,402,0.129340496,4.255240669,IV
5,407,0.149200698,6.714183463,IV
6,413,0.127599921,4.879842464,IV
7,433,0.115296251,5.825111386,IV
8,457,0.135980973,5.881388128,II
9,474,0.149022698,6.409396003,III
10,495,0.167994703,6.792276358,IV
11,518,0.200144902,6.860083437,II
12,536,0.213342105,7.06256983,VII
13,564,0.197437842,6.276245763,II
14,570,0.135195023,5.418058505,V
15,638,0.153815945,5.52250749,V
16,649,0.149130712,6.458382983,IV
